txn_id,policy_id,txn_date,gross_amount,fee_amount,fee_type,is_refund
T0000088,P001314,2024-12-06,12070.76,136.99,Ongoing,N
T0000089,P001071,2025-12-16,20069.45,309.42,Ongoing,N
T0000090,P000975,2025-10-06,21204.18,42.41,Initial,N
T0000091,P001238,2025-12-31,1762.63,24.19,Ongoing,N
T0000092,P000758,2025-12-05,3646.37,106.9,Ongoing,N
T0000093,P001048,2025-12-25,3131.57,64.08,Ongoing,N
T0000094,P000321,2024-12-14,6609.39,71.12,Initial,N
T0000095,P000274,2025-09-18,6294.47,215.87,Ongoing,N
T0000096,P000556,2025-12-04,3082.82,65.93,Ongoing,N
T0000097,P000844,2025-12-16,2894.16,106.9,Ongoing,N
T0000098,P001337,2025-12-29,2212.89,63.22,Ongoing,N
T0000099,P001387,2025-12-26,587.97,12.87,Ongoing,N
T0000100,P000668,2025-06-13,1739.7,66.72,Ongoing,N
T0000101,P001000,2025-08-08,9832.22,159.81,Ongoing,N
T0000102,P000380,2025-10-20,15863.3,143.58,Ongoing,N
T0000103,P000711,2025-06-25,14447.64,520.02,Ongoing,N
T0000104,P001494,2024-07-07,10171.93,264.93,Ongoing,N
T0000105,P000746,2025-12-29,2187.35,74.23,Ongoing,N
T0000106,P000675,2025-12-07,1910.31,55.04,Ongoing,N
T0000107,P000116,2025-01-15,1154.22,42.05,Ongoing,N
T0000108,P000605,2025-12-18,3082.33,45.88,Ongoing,N
T0000109,P001066,2025-05-01,5269.47,95.45,Ongoing,N
T0000110,P000379,2025-07-22,2194.64,39.52,Ongoing,N
T0000111,P001230,2025-08-26,6938.71,125.89,Ongoing,N
T0000112,P000466,2024-05-13,8279.07,35.84,Initial,N
T0000113,P000280,2025-12-06,3362.39,72.74,Initial,N
T0000114,P000618,2024-06-11,1682.42,46.96,Ongoing,N
T0000115,P000118,2025-08-02,14834.95,195.74,Initial,N
T0000116,P001261,2025-12-25,5054.9,54.91,Ongoing,N
T0000117,P000309,2025-01-10,23224.54,432.92,Ongoing,N
T0000118,P001480,2025-12-10,5291.74,147.35,Ongoing,N
T0000119,P001499,2025-12-05,5595.79,51.72,Initial,N
T0000120,P000100,2024-12-04,2271.97,98.5,Initial,N
T0000121,P000261,2024-02-28,3502.27,24.55,Initial,N
T0000122,P000993,2025-12-14,1412.28,20.19,Initial,N
T0000123,P001329,2025-12-15,1677.57,52.58,Ongoing,N
T0000124,P001378,2025-03-17,8892.22,263.88,Ongoing,N
T0000125,P000286,2025-12-06,3920.34,112.91,Initial,N
T0000126,P000328,2025-05-19,3504.75,46.07,Initial,N
T0000127,P001127,2025-12-02,2718.02,40.89,Ongoing,N
T0000128,P000063,2024-09-26,3610.43,41.29,Ongoing,N
T0000129,P000687,2025-10-01,12166.61,204.38,Initial,N
T0000130,P001306,2024-10-09,5515.83,131.43,Ongoing,N
T0000131,P001465,2025-12-13,1912.16,21.77,Ongoing,N
T0000132,P001317,2025-04-12,11207.16,28.22,Initial,N
T0000133,P000738,2025-12-27,19536.33,619.15,Ongoing,N
T0000134,P001031,2025-02-17,7300.98,132.87,Ongoing,N
T0000135,P000639,2025-12-09,10026.95,275.55,Ongoing,N
T0000136,P000936,2025-12-02,13051.08,220.68,Ongoing,N
T0000137,P001116,2025-12-31,1305.99,33.21,Initial,N
T0000138,P001214,2025-12-22,21838.21,944.76,Ongoing,N
T0000139,P000476,2025-12-04,11837.78,101.42,Ongoing,N
T0000140,P001486,2024-05-02,7266.89,88.81,Ongoing,N
T0000141,P000053,2025-12-27,4445.43,48.87,Ongoing,N
T0000142,P000754,2025-07-07,1686.15,69.2,Initial,N
T0000143,P000486,2025-12-23,3770.18,74.72,Initial,N
T0000144,P001388,2025-05-28,7035.45,203.15,Ongoing,N
T0000145,P001136,2025-10-28,-2031.47,-4.06,Initial,Y
T0000146,P000409,2025-12-08,4648.05,110.37,Initial,N
T0000147,P001031,2025-06-14,1906.77,31.26,Ongoing,N
T0000148,P000668,2024-07-15,3613.03,122.43,Initial,N
T0000149,P001221,2025-12-29,1665.53,44.28,Ongoing,N
T0000150,P000835,2025-12-29,-1531.16,-24.2,Initial,Y
T0000151,P000876,2025-12-03,6451.52,230.95,Initial,N
T0000152,P000367,2025-10-16,3090.83,113.48,Ongoing,N
T0000153,P001002,2024-12-06,3332.13,116.81,Initial,N
T0000154,P000250,2024-09-21,2960.89,81.79,Ongoing,N
T0000155,P001264,2025-01-15,43412.14,747.87,Ongoing,N
T0000156,P000380,2025-05-03,7989.58,178.33,Ongoing,N
T0000157,P000872,2025-09-04,8706.24,137.84,Ongoing,N
T0000158,P000835,2024-12-02,2642.99,58.71,Initial,N
T0000159,P001495,2024-10-17,7359.89,103.43,Ongoing,N
T0000160,P000775,2025-12-26,4096.23,74.97,Ongoing,N
T0000161,P000919,2025-12-13,2626.06,108.81,Initial,N
T0000162,P000455,2025-12-26,23000.54,531.53,Ongoing,N
T0000163,P000366,2025-10-15,7771.61,122.02,Initial,N
T0000164,P001314,2024-05-08,7464.18,67.16,Initial,N
T0000165,P000403,2025-12-30,2258.85,42.92,Ongoing,N
T0000166,P000058,2025-11-29,1779.05,48.84,Initial,N
T0000167,P000521,2025-12-10,4693.62,100.29,Ongoing,N
T0000168,P001328,2025-12-15,3106.3,60.45,Ongoing,N
T0000169,P001139,2025-06-27,8023.36,194.61,Ongoing,N
T0000170,P000210,2024-04-01,8462.57,202.62,Ongoing,N
T0000171,P001065,2025-08-25,5179.18,140.11,Ongoing,N
T0000172,P000816,2024-09-02,9529.72,260.34,Ongoing,N
T0000173,P000173,2025-12-09,5736.72,109.65,Initial,N
T0000174,P000234,2025-06-18,2447.07,45.55,Ongoing,N
T0000175,P000793,2025-12-04,4193.87,83.91,Ongoing,N
T0000176,P000793,2025-12-25,5478.5,140.26,Ongoing,N
T0000177,P001427,2025-12-05,10333.44,322.52,Ongoing,N
T0000178,P001063,2024-09-22,5883.82,97.86,Ongoing,N
T0000179,P000119,2025-07-23,3111.44,57.13,Ongoing,N
T0000180,P000335,2025-10-19,10645.97,126.32,Ongoing,N
T0000181,P001360,2024-10-22,-6664.86,-33.64,Ongoing,Y
T0000182,P001098,2024-07-08,16924.86,129.0,Initial,N
T0000183,P001215,2025-12-23,5270.19,52.51,Ongoing,N
T0000184,P000324,2025-06-28,2143.38,28.6,Ongoing,N
T0000185,P001011,2025-03-26,12601.66,309.99,Ongoing,N
T0000186,P001171,2025-12-07,3098.17,28.77,Initial,N
T0000187,P000284,2024-04-30,6225.07,125.6,Ongoing,N
T0000188,P000213,2025-12-10,5702.01,161.81,Initial,N
T0000189,P000929,2025-03-18,5097.49,59.65,Initial,N
T0000190,P000752,2025-09-09,4290.44,64.7,Ongoing,N
T0000191,P001418,2025-04-17,1310.66,8.91,Ongoing,N
T0000192,P000339,2025-12-19,2204.63,23.09,Ongoing,N
T0000193,P001046,2025-06-08,12060.68,406.44,Ongoing,N
T0000194,P000105,2025-04-13,6926.02,173.5,Initial,N
T0000195,P001490,2025-12-02,22639.19,939.43,Ongoing,N
T0000196,P001483,2025-12-15,2142.73,27.06,Ongoing,N
T0000197,P001456,2025-12-05,4795.7,168.25,Ongoing,N
T0000198,P000770,2025-12-22,12463.44,158.43,Ongoing,N
T0000199,P000716,2025-07-18,3125.47,46.85,Initial,N
T0000200,P000763,2025-02-17,3333.26,157.41,Ongoing,N
T0000201,P001245,2025-08-10,3886.75,45.28,Ongoing,N
T0000202,P000379,2025-07-08,3441.7,123.44,Ongoing,N
T0000203,P001246,2025-01-08,7520.88,148.01,Ongoing,N
T0000204,P001282,2025-08-31,1183.03,10.92,Ongoing,N
T0000205,P000713,2025-07-13,18291.3,104.13,Ongoing,N
T0000206,P001391,2025-08-12,2280.77,48.01,Ongoing,N
T0000207,P001373,2025-01-21,903.49,7.92,Initial,N
T0000208,P000225,2024-08-10,4874.67,83.09,Ongoing,N
T0000209,P000738,2025-12-15,3633.96,7.27,Ongoing,N
T0000210,P000236,2025-02-13,-4262.52,-100.36,Ongoing,Y
T0000211,P000183,2025-02-18,6311.07,28.88,Ongoing,N
T0000212,P000712,2025-03-28,8232.73,159.71,Ongoing,N
T0000213,P000444,2025-12-27,18945.49,116.74,Initial,N
T0000214,P000623,2025-12-07,2829.59,91.28,Initial,N
T0000215,P001030,2025-12-11,9131.02,18.26,Ongoing,N
T0000216,P001260,2024-11-28,8665.88,148.8,Ongoing,N
T0000217,P001151,2025-02-01,594.29,15.21,Ongoing,N
T0000218,P001128,2024-12-26,2523.61,59.53,Ongoing,N
T0000219,P000749,2025-08-04,1755.34,13.22,Initial,N
T0000220,P000155,2025-12-12,7032.62,18.3,Initial,N
T0000221,P000257,2024-12-06,6439.85,179.12,Ongoing,N
T0000222,P000235,2025-12-11,6544.25,1308.85,Ongoing,N
T0000223,P000500,2025-12-01,3848.84,35.73,Initial,N
T0000224,P000289,2025-11-30,-4172.18,-117.56,Initial,Y
T0000225,P000510,2024-09-04,4803.67,69.04,Initial,N
T0000226,P000709,2024-06-05,3565.68,47.87,Initial,N
T0000227,P000785,2025-10-23,9152.17,103.72,Ongoing,N
T0000228,P000894,2025-12-10,2088.64,25.91,Ongoing,N
T0000229,P000776,2024-12-27,2629.5,31.67,Ongoing,N
T0000230,P000298,2025-12-22,5415.69,126.09,Ongoing,N
T0000231,P000137,2025-09-07,3661.6,130.01,Ongoing,N
T0000232,P000376,2025-12-26,2024.29,12.21,Initial,N
T0000233,P000087,2025-06-18,7521.65,124.78,Ongoing,N
T0000234,P001443,2025-12-17,3109.35,57.09,Ongoing,N
T0000235,P001223,2025-12-21,2500.44,61.62,Initial,N
T0000236,P001487,2024-07-22,4274.82,127.75,Ongoing,N
T0000237,P000437,2025-12-20,2405.23,44.27,Ongoing,N
T0000238,P001334,2024-08-03,4782.2,65.18,Initial,N
T0000239,P001305,2025-04-03,3685.79,95.02,Initial,N
T0000240,P001347,2024-09-26,3261.48,11.74,Ongoing,N
T0000241,P000764,2025-08-13,3277.82,6.56,Ongoing,N
T0000242,P000702,2025-04-15,10899.72,500.34,Ongoing,N
T0000243,P000942,2025-12-28,6603.62,78.72,Initial,N
T0000244,P000152,2025-07-09,1252.18,19.86,Ongoing,N
T0000245,P001326,2025-10-04,9960.56,253.38,Initial,N
T0000246,P001302,2024-10-09,7429.74,174.38,Ongoing,N
T0000247,P001032,2024-05-24,7086.96,204.48,Ongoing,N
T0000248,P000807,2024-09-26,9999.88,293.76,Ongoing,N
T0000249,P000235,2025-08-12,4974.22,27.73,Initial,N
T0000250,P000675,2025-12-11,-8071.28,-263.87,Initial,Y
T0000251,P000561,2025-12-16,3389.45,85.1,Initial,N
T0000252,P001326,2025-08-14,9682.39,230.25,Initial,N
T0000253,P000038,2024-02-16,5851.72,141.76,Initial,N
T0000254,P001160,2024-12-23,1633.42,3.27,Ongoing,N
T0000255,P000822,2025-12-12,11261.08,201.58,Ongoing,N
T0000256,P000421,2024-07-19,4433.2,45.81,Ongoing,N
T0000257,P001243,2025-12-15,3965.95,35.27,Ongoing,N
T0000258,P000348,2024-11-29,3449.09,52.15,Initial,N
T0000259,P001103,2025-12-16,3657.4,103.34,Ongoing,N
T0000260,P000748,2025-12-07,5905.91,135.08,Initial,N
T0000261,P000273,2025-12-25,2230.4,54.37,Ongoing,N
T0000262,P001185,2025-12-22,1401.24,21.77,Ongoing,N
T0000263,P000308,2024-08-11,2097.35,49.84,Ongoing,N
T0000264,P001398,2025-12-21,6669.99,120.12,Initial,N
T0000265,P000976,2024-08-12,4317.58,127.33,Ongoing,N
T0000266,P000733,2025-12-22,11974.74,322.8,Initial,N
T0000267,P001033,2025-12-27,4666.06,100.78,Ongoing,N
T0000268,P000444,2025-12-29,9643.22,115.59,Ongoing,N
T0000269,P001137,2025-04-07,2823.54,64.18,Ongoing,N
T0000270,P001229,2024-11-12,3469.92,77.81,Initial,N
T0000271,P000405,2025-12-23,4952.36,104.96,Ongoing,N
T0000272,P000853,2025-02-26,4369.56,66.6,Ongoing,N
T0000273,P001221,2025-11-26,4055.01,54.56,Initial,N
T0000274,P000778,2025-12-06,2446.24,56.81,Ongoing,N
T0000275,P000115,2025-12-08,1382.36,15.79,Ongoing,N
T0000276,P001145,2024-09-25,8142.18,142.34,Ongoing,N
T0000277,P000065,2025-10-07,7445.82,192.61,Initial,N
T0000278,P001300,2025-12-21,3007.62,73.43,Initial,N
T0000279,P000825,2025-04-22,6654.89,56.08,Ongoing,N
T0000280,P000239,2025-04-12,4302.03,98.88,Initial,N
T0000281,P000302,2025-05-28,11907.66,480.1,Initial,N
T0000282,P001416,2025-08-12,1720.19,46.03,Ongoing,N
T0000283,P000969,2025-12-19,4440.93,76.62,Ongoing,N
T0000284,P000369,2025-12-05,4166.21,137.8,Ongoing,N
T0000285,P000233,2025-12-25,5590.88,234.77,Ongoing,N
T0000286,P000195,2024-08-28,16809.68,481.32,Ongoing,N
T0000287,P000907,2025-03-03,4451.63,11.95,Ongoing,N
T0000288,P001036,2025-12-28,8906.22,233.06,Ongoing,N
T0000289,P000921,2025-12-06,4366.63,146.23,Initial,N
T0000290,P000689,2025-12-26,11576.48,23.15,Initial,N
T0000291,P000177,2025-12-12,8975.72,263.63,Initial,N
T0000292,P000217,2024-02-03,3764.42,67.64,Ongoing,N
T0000293,P001035,2025-12-16,3553.75,117.82,Ongoing,N
T0000294,P001470,2024-08-27,7255.89,139.95,Initial,N
T0000295,P000630,2024-08-20,2909.32,68.17,Ongoing,N
T0000296,P000164,2025-12-11,5724.47,135.1,Initial,N
T0000297,P000053,2025-12-07,3697.32,100.35,Ongoing,N
T0000298,P000218,2025-02-15,6597.74,161.45,Ongoing,N
T0000299,P000999,2025-12-15,4320.76,47.57,Ongoing,N
T0000300,P000824,2025-05-17,2824.07,49.05,Initial,N
T0000301,P001384,2024-12-15,11899.43,237.21,Initial,N
T0000302,P000385,2025-12-27,5952.97,192.3,Initial,N
T0000303,P000056,2024-07-11,4708.53,116.98,Ongoing,N
T0000304,P000118,2024-01-01,6877.37,92.32,Ongoing,N
T0000305,P000900,2025-12-04,1290.84,13.95,Ongoing,N
T0000306,P001277,2025-05-27,26164.21,694.59,Ongoing,N
T0000307,P000798,2025-07-02,5012.8,76.45,Ongoing,N
T0000308,P000780,2025-04-01,1021.94,28.14,Ongoing,N
T0000309,P001016,2025-04-20,12806.08,248.98,Ongoing,N
T0000310,P000803,2025-12-19,2694.29,93.23,Initial,N
T0000311,P000845,2024-10-08,11327.3,143.06,Ongoing,N
T0000312,P001204,2025-06-11,5416.76,186.27,Ongoing,N
T0000313,P001439,2025-11-02,1399.22,41.75,Ongoing,N
T0000314,P001259,2024-08-31,6057.24,94.47,Initial,N
T0000315,P000855,2025-02-19,5711.1,64.06,Initial,N
T0000316,P000708,2025-12-30,12350.07,485.07,Initial,N
T0000317,P001104,2025-03-31,7463.14,81.9,Initial,N
T0000318,P000022,2025-12-03,1823.42,42.06,Ongoing,N
T0000319,P000843,2025-08-08,10957.89,257.0,Ongoing,N
T0000320,P001464,2025-12-01,3528.92,70.93,Ongoing,N
T0000321,P001117,2024-05-26,19461.87,541.3,Ongoing,N
T0000322,P000192,2025-06-14,3700.33,39.57,Ongoing,N
T0000323,P001019,2025-07-15,4150.43,163.24,Ongoing,N
T0000324,P001127,2025-12-09,2546.47,29.93,Ongoing,N
T0000325,P000396,2024-10-26,-3298.17,-61.22,Ongoing,Y
T0000326,P001031,2024-08-17,2669.5,15.0,Ongoing,N
T0000327,P000640,2024-08-24,12596.31,383.7,Ongoing,N
T0000328,P001019,2025-01-10,1693.91,65.86,Ongoing,N
T0000329,P000567,2025-12-09,9354.98,374.96,Ongoing,N
T0000330,P000231,2025-12-13,9536.94,298.96,Initial,N
T0000331,P000874,2025-06-23,14794.9,240.99,Initial,N
T0000332,P000574,2025-08-12,5089.88,101.89,Initial,N
T0000333,P000240,2025-06-01,2161.69,36.25,Ongoing,N
T0000334,P000090,2024-07-20,4283.79,33.71,Ongoing,N
T0000335,P000232,2025-05-13,7909.02,134.81,Initial,N
T0000336,P000457,2025-08-18,5259.46,152.99,Ongoing,N
T0000337,P000233,2024-12-27,6590.48,74.67,Initial,N
T0000338,P000354,2025-08-04,-14650.49,-29.3,Ongoing,Y
T0000339,P001005,2025-12-27,7829.1,58.48,Initial,N
T0000340,P001357,2025-07-17,5760.35,162.34,Ongoing,N
T0000341,P000439,2025-03-07,1123.84,3.17,Ongoing,N
T0000342,P001399,2025-06-03,2625.22,40.11,Ongoing,N
T0000343,P001316,2025-12-02,3555.53,57.47,Initial,N
T0000344,P000345,2025-12-09,1010.61,22.82,Ongoing,N
T0000345,P000664,2025-04-18,2023.5,45.22,Ongoing,N
T0000346,P001452,2025-11-24,3964.91,95.17,Ongoing,N
T0000347,P000657,2024-03-10,4516.2,83.61,Ongoing,N
T0000348,P000130,2025-09-28,-7366.13,-77.75,Ongoing,Y
T0000349,P000141,2025-03-10,4170.39,121.0,Ongoing,N
T0000350,P000415,2025-08-29,5993.51,14.16,Ongoing,N
T0000351,P001117,2024-08-20,3518.42,97.86,Ongoing,N
T0000352,P000626,2025-12-22,5082.76,159.81,Ongoing,N
T0000353,P000284,2025-01-18,7049.97,305.74,Ongoing,N
T0000354,P000223,2023-12-26,15964.2,198.88,Ongoing,N
T0000355,P000744,2024-12-08,3256.1,46.88,Initial,N
T0000356,P000463,2025-07-29,-5515.65,-113.25,Ongoing,Y
T0000357,P001300,2025-12-15,9850.74,194.92,Ongoing,N
T0000358,P001164,2025-12-09,1553.59,44.04,Initial,N
T0000359,P000357,2025-12-14,24300.71,612.98,Ongoing,N
T0000360,P001047,2025-12-18,12622.35,208.03,Ongoing,N
T0000361,P001294,2025-04-07,1249.89,23.77,Ongoing,N
T0000362,P000859,2025-07-02,-6615.07,-194.04,Initial,Y
T0000363,P000665,2025-12-28,3128.9,22.96,Initial,N
T0000364,P001357,2025-06-24,3576.43,63.17,Ongoing,N
T0000365,P001015,2025-11-30,6505.49,166.2,Ongoing,N
T0000366,P000085,2024-12-19,11388.05,106.29,Ongoing,N
T0000367,P000621,2025-10-15,3385.65,6.77,Ongoing,N
T0000368,P001055,2025-12-09,3422.21,117.95,Ongoing,N
T0000369,P000240,2024-11-19,6619.22,131.03,Initial,N
T0000370,P000363,2025-08-21,7766.42,57.66,Initial,N
T0000371,P000822,2025-12-28,2195.79,64.13,Ongoing,N
T0000372,P001413,2025-07-08,19514.99,349.65,Ongoing,N
T0000373,P000668,2025-06-21,2937.6,28.35,Initial,N
T0000374,P001323,2025-07-25,10633.23,251.98,Ongoing,N
T0000375,P001395,2025-07-19,7054.1,144.72,Ongoing,N
T0000376,P000099,2025-12-18,7982.92,110.71,Ongoing,N
T0000377,P000047,2025-12-01,2983.46,36.71,Ongoing,N
T0000378,P000839,2025-08-27,1237.59,12.05,Initial,N
T0000379,P000422,2025-12-12,-4831.34,-132.16,Initial,Y
T0000380,P000062,2025-12-05,4847.29,36.43,Initial,N
T0000381,P001133,2025-12-07,2283.77,27.46,Initial,N
T0000382,P001143,2025-12-07,10243.05,215.22,Ongoing,N
T0000383,P001010,2025-11-30,4716.28,163.13,Ongoing,N
T0000384,P000598,2024-10-12,2572.78,54.87,Initial,N
T0000385,P001406,2024-11-14,7848.34,203.13,Ongoing,N
T0000386,P000392,2025-12-08,8016.81,168.53,Ongoing,N
T0000387,P000977,2025-08-20,2770.88,80.53,Ongoing,N
T0000388,P001076,2025-12-14,13183.4,519.1,Ongoing,N
T0000389,P000603,2025-09-15,29572.35,462.0,Ongoing,N
T0000390,P001313,2025-03-20,2054.89,41.39,Ongoing,N
T0000391,P000337,2024-01-20,4243.08,92.22,Initial,N
T0000392,P000810,2025-12-24,6435.65,162.81,Initial,N
T0000393,P001228,2025-10-09,30461.17,649.56,Ongoing,N
T0000394,P001262,2025-03-24,2732.52,39.79,Ongoing,N
T0000395,P001406,2025-08-31,2317.7,46.19,Initial,N
T0000396,P000752,2025-03-09,2305.07,102.15,Ongoing,N
T0000397,P001160,2025-03-18,13057.77,302.14,Initial,N
T0000398,P001431,2025-12-26,2789.83,5.58,Ongoing,N
T0000399,P001386,2025-10-12,2489.64,39.96,Ongoing,N
T0000400,P001405,2023-11-29,5912.2,119.04,Ongoing,N
T0000401,P000881,2024-06-12,6289.12,116.94,Ongoing,N
T0000402,P000635,2025-12-25,11577.47,223.63,Ongoing,N
T0000403,P000254,2025-12-14,5289.83,120.94,Ongoing,N
T0000404,P001138,2024-08-15,5997.79,150.46,Ongoing,N
T0000405,P000020,2025-12-17,4517.81,102.05,Initial,N
T0000406,P000528,2025-04-06,1731.17,51.08,Ongoing,N
T0000407,P001169,2025-09-28,4189.41,21.14,Ongoing,N
T0000408,P001232,2024-10-02,5168.13,90.3,Ongoing,N
T0000409,P000376,2025-12-31,3445.9,83.88,Ongoing,N
T0000410,P000166,2025-04-21,1405.91,31.72,Ongoing,N
T0000411,P001205,2025-06-18,1982.29,26.72,Initial,N
T0000412,P000861,2025-02-08,4762.34,69.92,Ongoing,N
T0000413,P000617,2025-08-14,10365.13,120.06,Initial,N
T0000414,P000612,2025-10-13,18879.41,561.98,Initial,N
T0000415,P001468,2024-10-02,4242.62,8.49,Initial,N
T0000416,P001356,2024-07-26,2769.72,19.9,Ongoing,N
T0000417,P000503,2025-12-27,3648.21,88.24,Ongoing,N
T0000418,P000913,2025-12-04,-2127.85,-54.11,Initial,Y
T0000419,P000079,2025-09-25,9229.83,38.36,Initial,N
T0000420,P000585,2025-12-11,27175.99,713.76,Ongoing,N
T0000421,P000688,2025-04-20,2824.18,61.58,Ongoing,N
T0000422,P000396,2024-12-23,1893.85,47.64,Ongoing,N
T0000423,P001127,2025-08-24,-10994.9,-227.86,Ongoing,Y
T0000424,P000402,2024-07-19,6338.78,1267.76,Ongoing,N
T0000425,P000975,2024-11-20,6424.94,158.06,Ongoing,N
T0000426,P000224,2024-03-16,17510.21,432.84,Ongoing,N
T0000427,P000518,2024-11-05,1647.17,36.96,Ongoing,N
T0000428,P000634,2025-11-22,-1610.77,-30.84,Ongoing,Y
